TimeSinceMark,CurrentStage,AltitudeASL,DownRange,SpeedSurface,SpeedOrbital,Mass,Acceleration,Q,AoA,AoS,AoD,AltitudeTrue,Pitch,GravityLosses,DragLosses,SteeringLosses,DeltaVExpended
0,7,78.0705560483737,0,0.182123059519252,174.963377888725,65.7688805909638,1.1791187364638,0.0066462268592854,-0.0646582004794459,-0.14350119135239,0.157451766181116,5.57260802069679,89.9484954833984,0,0,0,0
0.0199999999999818,7,78.0760577392881,0,0.272422010414255,174.963388505526,65.760043844748,1.22517576963579,0.0183416270087691,-0.0704126143009868,-0.160560851926058,0.175255880182342,5.57389686374226,89.9493041992187,0.00101388593187356,1.08878878781994E-06,0.374251889642398,0.375967652764385
0.239999999999782,7,78.3398831855739,0,2.08118187211173,174.973130225633,65.6628300996308,1.73311508309326,2.00967482667089,-0.044603528221042,-0.11655529059343,0.12189709985593,5.70348305308027,89.9790100097656,0.0255607887392197,7.06981107404985E-05,4.46824283472444,4.51495901381586
0.459999999999582,7,79.0387685494148,0.0126440545532682,4.07709776818234,175.005143858325,65.5656163545136,1.91999301378295,8.44627416472842,-0.0456615974675436,-0.0858620800711689,0.0954495711825118,6.22289514772827,89.9747619628906,0.0747074626441798,0.00035471024787631,8.52139022018049,8.66011419422822
0.679999999999382,7,80.1774677924812,0.00894069671630859,6.07890375844141,175.060119354409,65.4684026093964,1.92271890347901,19.3511572164657,-0.0358035617856581,-0.0787310755076061,0.0842917597466926,7.18156095396727,89.9695007324219,0.148507959314479,0.00100729794299519,12.533138518462,12.8114753285646
0.899999999999181,7,81.7572636797559,0.00894069671630859,8.08648793957506,175.138256580588,65.3711888642792,1.92539140960887,34.7588987339805,-0.0293027394963164,-0.0802436488663898,0.0822322015268562,8.58080018794397,89.9667510986328,0.247004990447505,0.00218537738823505,16.5030449571065,16.9690854320331
1.11999999999898,7,83.7794138779049,0.0126440545532682,10.0997386017074,175.239686036987,65.2739770265107,1.92801044029054,54.7016828768938,-0.0303439794930867,-0.0817014941257209,0.0850603612745743,10.4218812035979,89.9651336669922,0.370229845494743,0.00404741679251663,20.4310663212976,21.1329851577338
1.33999999999878,7,86.2451514775748,0.0199920056238752,12.1185402550226,175.364531129307,65.1767651887421,1.93057506465892,79.2092533277935,-0.0335954888751629,-0.0827995931617827,0.087498115260833,12.70604895461,89.9745697021484,0.518202275792943,0.00675352443643513,24.3171363249395,25.3032170805443
1.55999999999858,7,89.1556837791461,0.0252881091065364,14.1427796080387,175.512918805272,65.079551443625,1.93308499866945,108.308887361054,-0.0352706915358067,-0.0845598452638399,0.0875502686454319,15.4345202223351,89.9852355957031,0.69093045682822,0.0104656265151139,28.1611313497157,29.4798241520303
1.77999999999838,7,92.5121928004548,0.0334530239114816,16.1723381038358,175.684966479283,64.9823396058564,1.93553889569812,142.025310684927,-0.0358745007749893,-0.0868962083193705,0.0906335131394123,18.608487881039,89.9684936523438,0.888410894922873,0.0153473772163576,31.9629385469029,33.6628489808481
1.99999999999818,7,96.3158345161006,0.0419355847819754,18.2070976438342,175.88077233535,64.8851239533906,1.9379364387225,180.38072935456,-0.0365712502301338,-0.089510925184541,0.0937802485947536,22.2291173921141,89.9754913330078,1.11062843170036,0.0215639298130817,35.7224751761049,37.8523335113389
2.21999999999798,7,100.56773876386,0.0521327724591968,20.2469376119,176.100418997039,64.7879140229707,1.94027681114565,223.394648960138,-0.0375471140165596,-0.0922208194511305,0.0976841522456926,26.2975491400203,89.9746704101563,1.35755624065875,0.0292818289156899,39.4396880312419,42.048320749503
2.43999999999778,7,105.2690093818,0.0625848770141602,22.2917368468366,176.343974471038,64.6907002778535,1.94255937926821,271.084002675036,-0.0384595873189141,-0.0950087289818502,0.0996677456843782,30.8149018906697,89.97509765625,1.62915587145359,0.0386689769821505,43.1145450072188,46.2508549436443
2.65999999999758,7,110.420722695126,0.0748032355189988,24.3413739108784,176.611493100231,64.5934884400849,1.94478384241538,323.462994814683,-0.0391047126896397,-0.0978254347729799,0.102589135458445,35.7822586014867,89.9868286132812,1.92537732028041,0.049894580816971,46.747034373524,50.4599789215705
2.87999999999738,7,116.023926655832,0.0880556506079088,26.3957245004507,176.903013885335,64.4962727876191,1.94694955380086,380.543278807408,-0.0396491455638218,-0.100744240186415,0.105211648266499,41.2006831448898,89.9847076416016,2.24615910124901,0.0631290718577858,50.3371595595217,54.6757357785224
3.09999999999718,7,122.079643853637,0.103109144520797,28.4546651019359,177.218560156218,64.3990609498505,1.94905661423551,442.333503631409,-0.040023302442871,-0.103679674087255,0.108874915799356,47.0712067970412,89.9789184570313,2.59142838426661,0.0785439437869613,53.8849528662849,58.8981692285032
3.31999999999698,7,128.588868969632,0.118611745489433,30.518071334695,177.558140369053,64.301849112082,1.95110416498701,508.839806514644,-0.0404709813900725,-0.106809651369418,0.113097108189832,53.3948284499627,89.9805603027344,2.96110113811736,0.0963120792923283,57.3904498372861,63.1273223203755
3.53999999999678,7,135.552570194402,0.135592379165618,32.5858080985088,177.921743786287,64.2046353669648,1.95308744013545,580.06527823923,-0.0410090612353786,-0.109566540605085,0.115148688220155,60.1725347024214,89.9817169189453,3.35508219624502,0.116620207821523,60.8537364116819,67.363239293488
3.75999999999658,7,142.971680211241,0.154081177171595,34.6577348419748,178.309344850177,64.1074216218476,1.95500423344701,656.009690061645,-0.0421430998090483,-0.112101869872555,0.118167510085211,67.4052748394164,89.9864929199219,3.77326538268177,0.13965559158908,64.2749132795837,71.6059636179902
